timestamp,raw,temperature,modified1,modified2,modified3
1612224000000,0.0,-3.9,0.0,0.0,0.0
1612227600000,0.0,-3.5,0.0,0.0,0.0
1612231200000,0.0,-3.0,,0.0,0.0
1612234800000,0.0,-2.6,,0.0,0.0
1612238400000,0.0,-2.4,0.0,0.0,0.0
1612242000000,0.0,-2.1,0.0,0.0,0.0
1612245600000,0.0,-2.0,0.0,0.0,0.0
1612249200000,0.0,-2.1,,0.0,0.0
1612252800000,0.0,-2.6,0.0,0.0,0.0
1612256400000,0.0,-3.0,0.0,0.0,0.0
1612260000000,0.0,-3.2,0.0,0.0,0.0
1612263600000,0.0,-3.6,0.0,0.0,0.0
1612267200000,0.0,-3.8,0.0,0.0,0.0
1612270800000,0.0,-4.2,0.0,0.0,0.0
1612274400000,0.0,-4.8,0.0,0.0,0.0
1612278000000,0.0,-5.4,0.0,0.0,0.0
1612281600000,0.0,-5.6,0.0,0.0,0.0
1612285200000,0.0,-5.6,0.0,0.0,0.0
1612288800000,0.0,-5.5,0.0,0.0,0.0
1612292400000,0.0,-5.6,0.0,0.0,0.0
1612296000000,0.0,-5.6,0.0,0.0,0.0
1612299600000,0.0,-5.7,0.0,0.0,0.0
1612303200000,0.0,-5.8,0.0,0.0,0.0
1612306800000,0.0,-5.8,0.0,0.0,0.0
1612310400000,0.0,2.1,0.0,0.0,0.0
1612314000000,0.0,2.1,0.0,0.0,0.0
1612317600000,0.0,2.0,0.0,0.0,0.0
1612321200000,0.0,2.0,,0.0,0.0
1612324800000,0.0,1.8,0.0,0.0,0.0
1612328400000,0.0,1.1,0.0,0.0,0.0
1612332000000,0.0,1.1,0.0,0.0,0.0
1612335600000,0.0,2.0,0.0,0.0,0.0
1612339200000,0.0,2.7,0.0,0.0,0.0
1612342800000,0.0,3.5,0.0,0.0,0.0
1612346400000,0.0,4.0,0.0,0.0,0.0
1612350000000,0.0,4.4,,0.0,0.0
1612353600000,0.0,4.6,0.0,0.0,0.0
1612357200000,0.0,4.6,0.0,0.0,0.0
1612360800000,0.0,4.3,0.0,0.0,0.0
1612364400000,0.0,3.4,0.0,0.0,0.0
1612368000000,0.0,2.2,0.0,0.0,0.0
1612371600000,0.0,1.2,0.0,0.0,0.0
1612375200000,0.0,0.6,0.0,0.0,0.0
1612378800000,0.0,0.6,,0.0,0.0
1612382400000,0.0,0.3,0.0,0.0,0.0
1612386000000,0.0,-0.1,0.0,0.0,0.0
1612389600000,0.0,-0.3,0.0,0.0,0.0
1612393200000,0.0,-0.4,0.0,0.0,0.0
1612396800000,0.0,-0.3,0.0,0.0,0.0
1612400400000,0.0,-0.3,,0.0,0.0
1612404000000,0.0,-0.4,0.0,0.0,0.0
1612407600000,0.0,-0.4,0.0,0.0,0.0
1612411200000,0.0,-0.5,0.0,0.0,0.0
1612414800000,0.0,0.2,0.0,0.0,0.0
1612418400000,0.0,1.9,0.0,0.0,0.0
1612422000000,0.0,3.8,0.0,0.0,0.0
1612425600000,0.0,5.1,0.0,0.0,0.0
1612429200000,0.0,5.8,0.0,0.0,0.0
1612432800000,0.0,5.6,0.0,0.0,0.0
1612436400000,0.0,5.9,0.0,0.0,0.0
1612440000000,1118.2,6.2,1118.2,,1118.2
1612443600000,0.0,6.2,0.0,0.0,0.0
1612447200000,0.0,5.6,0.0,0.0,0.0
1612450800000,0.0,5.0,0.0,0.0,0.0
1612454400000,0.0,4.0,0.0,0.0,0.0
1612458000000,0.0,2.7,0.0,0.0,0.0
1612461600000,0.0,1.4,0.0,0.0,0.0
1612465200000,0.0,0.8,0.0,0.0,0.0
1612468800000,0.0,0.3,0.0,0.0,0.0
1612472400000,0.0,-0.3,0.0,0.0,0.0
1612476000000,0.0,-1.0,0.0,0.0,0.0
1612479600000,0.0,-1.5,0.0,0.0,0.0
1612483200000,0.0,-0.2,0.0,0.0,0.0
1612486800000,0.0,-0.6,0.0,0.0,0.0
1612490400000,0.0,-0.9,0.0,0.0,0.0
1612494000000,0.0,-1.0,0.0,0.0,0.0
1612497600000,0.0,0.1,0.0,0.0,0.0
1612501200000,0.0,1.9,0.0,0.0,0.0
1612504800000,0.0,3.7,,0.0,0.0
1612508400000,0.0,5.2,0.0,0.0,0.0
1612512000000,414.40000000000003,6.4,414.40000000000003,414.40000000000003,414.40000000000003
1612515600000,539.17,6.9,539.17,539.17,539.17
1612519200000,1720.9,6.8,1720.9,,1720.9
1612522800000,1447.0,7.4,1447.0,1447.0,1447.0
1612526400000,1262.53,7.9,1262.53,1262.53,1262.53
1612530000000,896.23,8.0,896.23,896.23,896.23
1612533600000,32.39,7.8,32.39,32.39,32.39
1612537200000,0.0,7.4,0.0,0.0,0.0
1612540800000,0.0,6.8,0.0,0.0,0.0
1612544400000,0.0,6.0,0.0,0.0,0.0
1612548000000,0.0,4.9,0.0,0.0,0.0
1612551600000,0.0,3.6,0.0,0.0,0.0
1612555200000,0.0,2.9,0.0,0.0,0.0
1612558800000,0.0,2.5,0.0,0.0,0.0
1612562400000,0.0,2.3,0.0,0.0,0.0
1612566000000,0.0,2.2,0.0,0.0,0.0
1612569600000,0.0,7.7,0.0,0.0,0.0
1612573200000,0.0,6.8,0.0,0.0,0.0
1612576800000,0.0,6.4,0.0,0.0,0.0
1612580400000,0.0,7.3,0.0,0.0,0.0
1612584000000,0.0,10.3,0.0,0.0,0.0
1612587600000,0.0,12.7,0.0,0.0,0.0
1612591200000,0.0,14.7,0.0,0.0,0.0
1612594800000,57.67,16.0,57.67,57.67,57.67
1612598400000,1024.46,16.9,1024.46,1024.46,1024.46
1612602000000,1378.92,17.5,1378.92,,1378.92
1612605600000,1464.93,18.1,1464.93,,1464.93
